Title,Жанры,Описание,img
"    / UFO Princess Valkyrie - Toki to Yume to Ginga no Utage ( ) [OVA] [2  2] [ENG, JAP+Sub] [2006, , -, , , DVDRip]","комедия, махо-сёдзё, романтика, фантастика",,442
"  -   ( ) / Kino no Tabi - the Beautiful World: Byouki no Kuni -For You- [Movie] [RUS(ext), JAP+Sub] [2007, ,, DVDRip]","приключения, драма",,443
" :   ( ) / Kino no Tabi: The Beautiful World - Byouki no Kuni -For You- [Movie] [RUS(ext), JAP+Sub] [2007, ,, DVDRip]",,,444
" :   ( ) / Kino no Tabi: The Beautiful World - Life Goes On [Movie] [RUS(ext), JAP+Sub] [2005, ,, DVDRip]",,,445
"  -   ( ) / Kino no Tabi - the Beautiful World: life goes on [Movie] [RUS(ext),JAP,, DVDRip]","приключения, драма","Эта история рассказывает нам о Кино и её тренировках с Наставником. Очень ""мягкий"" и приятный фильм. Но смотреть после обязательного просмотра ТВ-серий, чтобы получить большее удовольствие. ",446
"  (-3) / Minami-ke Natsuyasumi [OVA] [RUS(int), JAP+Sub] [2013, , ть, DVDRip], DVDRip]","комедия, повседневность","Эта история, рассказывает об обычной жизни трёх сестер Минами. Не больше и не меньше, обычное, жизненное повествование.",447
"  OVA / Minami-ke Betsubara ( ) [OVA] [RUS(ext), JAP+Sub] [2009, , ть, DVDRip], DVDRip]","комедия, повседневность",,448
" : я тёмное начало / Goulart Knights: Evoked The Beginning Black [OVA] [RUS(int), JAP+Sub] [2010, мистика, драма, сёдзё, DVDRip]   / Goulart Knights: Evoked The Beginning Black [OVA] [RUS(int), JAP+Sub] [2010, , , , DVDRip]","мистика, драма, сёдзё","После нападения Архонтов на маленький городок, в живых осталась только одна девочка по имени Спику, отряд Рыцарей Гуларта решил доставить её в гимназию города Монсальват. Но вряд ли кто то знал что девочка не обычная и это может обернуться большой проблемой для отряда молодых рыцарей. ",449
"  () / Kaibutsu Oujo / Princess Resurrection ) [TV+Special] [25+1  25+1] [RUS(ext), JAP+Sub] [2007, ,, , DVDRip]","приключения, фэнтези, комедия",,450
" (-6) / Major 6th Season [TV] [25  25] [RUS(ext),JAP, , , , HDTVRip]","спорт, комедия, драма, сёнэн","После драматичного матча в финале Кубка Мира Горо Сигэно получил широкую известность и попал в МЛБ – главную бейсбольную лигу Америки. Публика, репортеры и владелец клуба «Индиана Хорнетс» возлагают на 19-летнего питчера большие надежды, но опытные игроки, в том числе новые товарищи по команде, не спешат с оценками – молодых да ранних в большом спорте видали с избытком. Сам же Горо, несмотря на бодрый вид, на деле находится в глубоком кризисе. Дело всей его жизни, соперничество с Джо Гибсоном-старшим, завершилось, и теперь парень идет вперед по инерции, не понимая, к чему стремиться.",451
",  учитель (сезон первый) / Sayonara Zetsubou Sensei (Симбо Акиюки) [TV] [12 из 12] [RUS(int), JAP+Sub] [2007, комедия, драма, школа, TVRip] ( ) / Sayonara Zetsubou Sensei ( ) [TV] [12  12] [RUS(int), JAP+Sub] [2007, , , , TVRip]",,,452
"  / Wangan Midnight ( ) [TV][26  26][RUS(int), JAP+Sub] [2007, , , DVDRip]","спорт, драма",Фактически - продолжение Initial D в новой упаковке.,453
"й экспресс 999 / Ginga Tetsudou 999 / Galaxy Express 999 (Нисидзава Нобутака) [TV] [113 из 113] [JAP+Sub] [1978, фантастика, приключения, драма, DVDRip]  999 / Ginga Tetsudou 999 / Galaxy Express 999 ( ) [TV] [113  113] [JAP+Sub] [1978, , ,, DVDRip]","фантастика, приключения, драма","Мальчик по имени Хосино Тэцуро хочет жить вечно. Но если он хочет жить вечно, ему нужно получить механическое тело. Для того чтобы его получить, он отправляется на поезде в космическое пространство вместе с Мэйтел, загадочной и прекрасной женщиной (поезд называется Галактический экспресс 999). Сериал, в котором с Тэцуро происходят различные приключения и встречи с различными существами, заставляет задуматься о жизненных ценностях. ",454
" (-5) / Major 5th Season [TV] [25  25] [RUS(ext),JAP, , , , HDTVRip]","спорт, комедия, драма, сёнэн",,455
" :  / Battle Athletess Daiundoukai / Battle Athletes Victory ( ) [TV] [26  26] [JAP+Sub] & [1-8  26] [RUS(ext)] [1997, , , , DVDRip]","фантастика, спорт, комедия","Земля пережила страшную катастрофу, 99% человечества была уничтожена, но по прошествию времени оно возродилось из пепла и начала отстраивать мир заново, расселилось по другим планетам солнечной системы, в общем дела пошли в гору. И новой профилирующей идеей человечества стал спорт, а точнее тотальная его популяризация, что повлекло за собой явлению мира всегалактического турнира на звание Космической Красавицы. И девушка по имени Акари поставила перед собой цель стать обладательницей сего громкого титула.",456
"   / Bakugan New Vestroia ( ) [TV] [52  52] [RUS(int)] [2009-2011, ,",Приключения,"Bakugan New Vestroia - это второй сезон японского аниме-сериала Bakugan Battle Brawlers. Дэн Кузо отправляется в новый мир Бакуганов — Новую Вестройю. Эту планету завоевали существа с другой планеты — весты, которые видят в бакуганах не живых существ, а всего лишь орудия для игры. Лидером сильнейшего клана вексов является Спектра, который постоянно носит маску. Вместе с Дэном в новый мир попадает Маручо, а затем и Шун, и вместе они присоединяются к новым бойцам — Мире, Эйсу и Берону, которые борются за свободу бакуганов.",457
"   / Bakugan Battle Brawlers [TV] [52  52] [RUS(int)] [2007, ,, SATRip]","Приключения, сёнэн","На американского подростка Дэна Кузо и других детей с неба посыпались волшебные карты. Дети собрали их и придумали стратегическую игру. В каждом шаре был монстр, который приобретает свои реальные рост и способности. В картах записаны способности и бонусы для монстров. Все это люди и назвали Бакуганом. Но до тех пор пока загадочный игрок по прозвищу Маска, не начал отправлять бакуганов своих противников в измерение Смерти в Вестройе (галактика, из которой пришли бакуганы). Дэн хорошо играл в бакуган и понял что это не просто игра, а нечто более важное. И Маска приобрёл нескольких лучших в мире игроков в бакуган, подчиняясь приказу бакугана Наги и человека Хелджи (дедушка Элис), которые с помощью этой игры решили захватить власть в Вестройе и на Земле.",458
":   / Bakugan: Gundalian Invaders [TV] [39 из 39] [RUS(int)] [2010, Приключения, SATRip] 39] [RUS(int)] [2010, ,",Приключения,"Дэн, Маручо и Шун попадают в войну между двумя планетами Ниатией и Гандалией. Гандалия использует Бакуганов и людей в войне для того чтобы покорить Ниатию. Они объединяют свои усилия с тремя новыми бойцами: принцессой Ниатии Фабией, другом Дэна — Джейком и гандалианом Рэном, чтобы остановить воинов Гандалии и Двенадцать приказов, а также спасти от уничтожения Ниатию и возможно Землю.",459
":   / Bakugan: Mechtanium Surge [TV] [46  46] [RUS(int)] [2012, ,","Приключение, Комедия","Действие по прежнему продолжается в Бакуган Интер-Спейс. Появляются 2 новые команды, которые по силе не уступают главным героям. Дэн пробует бой с подчинённым главы этой команды, сначала он превосходит противника, но затем неожиданно телепатической связью с ним связывается невероятно большой бакуган (Мектоган) по имени Зентон, который фактически срывает юношу и Драго с первого места в рейтинге (первым становится Анубиас). Тогда Дэн решает во что бы то ни стало найти и обрести контроль над Зентоном.",460
" :     / Shiroi Kiba: White Fang Monogatari [Special] [RUS(int)+JAP+Sub] [1982, ,, HDTVRip]","риключения, драма,",,461
"     /      / Seihou Bukyou Outlaw Star ( ) [TV][26  26][RUS(ext), JAP+Sub][1998, ,, , DVDRip]","приключения, комедия, фантастика","Большая часть космического пространства поделена между тремя крупными фракциями: Федерация - официальное галактическое правительство; различные пиратские группировки, владеющие тайными искусствами, наподобие магии; изгнанники (люди вне закона, если быть точнее) - те, которые не относятся к первым двум главенствующим фракциям.",462
"  / Death Frenzy / Shigurui [TV] [12  12] [RUS(int), JAP] [2007,  , , , BDRip]","самурайский боевик, история, драма","На турнире, устроенном Таданагой Токугавой, жестоким даймё Суруги, бойцы станут сражаться боевым оружием. Это приведет к большим потерям среди мечников, но что за беда? Правитель алчет величественного и кровавого зрелища.",463
",     (-2) / Kimi no Iru Machi / A Town Where You Live ( ) [OVA] [2  2] [RUS(ext),JAP, , DVDRip]","романтика, драма","17-летний Харуто Кирисима, простой школьник из приморской глубинки, окончательно потерял покой. Несколько месяцев назад девушка по имени Юдзуки Эба сбежала из шумного мегаполиса на родину отца и поселилась в семье Кирисима, его давних знакомых. Столичная красавица не потерялась среди чужих людей, а сумела излечить наследника рода от застенчивости и детской любви, взамен прочно завладев его сердцем. Увы, Юдзуки растаяла «как сон, как утренний туман», вернувшись домой и, похоже, забыв о недолгих отношениях. Однако деревенские ребята так просто не сдаются! Они долго запрягают, но быстро ездят, и вот главный герой уже в Токио, чтобы найти любимую и забрать ее в родную Хиросиму!",464
",     (-1) / Kimi no Iru Machi: Tasogare Kousaten / A Town Where You Live ( ) [OVA] [2  2] [RUS(ext),JAP, DVDRip]",романтика,Бонус к ограниченным эксклюзивным изданиям 17-го и 18-го томов манги.,465
"-и / Sekai Meisaku Douwa: Hakuchou no ouji / The Wild Swans (Нобутака Нисидзава) [Movie] [RUS(int), ENG] [1977, сказка, семейный, DVDRip] / Sekai Meisaku Douwa: Hakuchou no ouji / The Wild Swans ( ) [Movie] [RUS(int), ENG] [1977, , , DVDRip]","сказка, семейный","В недобрый час вдовый король встречает во время охоты в лесу старую колдунью, которая хитростью женит его на своей дочери, тоже колдунье. Шестерых сыновей короля, братьев-принцев, мачеха превращает в лебедей. Их сестра Элиза видела, что произошло и, спасаясь, убежала в лес. Чтобы разрушить колдовство злой королевы-колдуньи, она молча плетет братьям рубашки-кольчуги из крапивы - по рубашке в год. Чтобы спасти братьев, Элиза не смеет заговорить ни когда встречает полюбившего ее прекрасного молодого короля, ни даже когда коварная ведьма обвиняет ее в колдовстве, и ей грозит костер.",466
"   -  .  !     - / Dragon Ball Z: Kyokugen Battle! Sandai Chou Saiyajin Special / Summer Vacation Special - Extreme Battle! The Three Great Super Saiyans [Special] [JAP+Sub] [1992, приключения, TVRip],","приключения, комедия, фэнтези","В один мирный день семья Сона и его друзья проводят день за покупками в Уэст-Сити. Между тем, два незнакомца входят в город и начинают разрушать, уничтожая почти все на своем пути. Когда семья Сона обедает, здание, в котором они находятся, внезапно подвергается нападению, так как оказывается, что они следуют за Сон Гоку. Когда Гоку видит, что нападают на невинных людей, он приходит в ярость. Транкс приходит на помощь Гоку, и они выводят искусственных людей из города. Поскольку битва перенесена в другое место, Гоку и Гохан, теперь одетые в белые смокинги, возвращаются и приземляются в Уэст-Сити.",467
" :   / Ozanari Dungeon: Kaze no Tou [OVA] [3  3] [RUS(int), JAP+Sub] [1991, ,, LDRip]","приключения, фэнтези",,468
"  / Saint Seiya ( ) [TV] [114  114] [JAP,FRA+Sub] [1986, , ,, , DVDRip]","фэнтези, приключения, фантастика, сёнэн","7 лет до того как происходит действие в сериале, 100 сирот из Японии был отправлены в разные уголки мира чтобы стать Святыми Афины. История нам рассказывает о сироте с именем Сейя. Он был отправлен в Святилище в Греции чтобы получить бронзовую Броню Пегаса. После семи лет тренировок Сейя получает Броню и возвращается в Японию чтобы найти свою сестру которая исчезла в тот же день когда Сейя отправился в Святилище. Саори Кидо, внучка человека который отправил сирот на тренировки, уговаривает Сейю принять участие в турнире, который называется Галактические Войны, где принимают участвие выжившие сироты, которые стали бронзовыми Святыми, чтобы получить самуую сильную броню - Золотуюю Броню Стрельца. Если Сейя выиграет турнир, то Саори начнет поиск его сестры. В дальнейшем Сейя, Рыцарь Пегаса, объединяется с другими бронзовыми Рыцарями Зодиаков:",469
"   ( ) / Higurashi no Naku Koro ni [TV+Special] [26+1  26+1] [RUS(ext), JAP+Sub] [2006, , , , , DVDRip]","триллер, ужасы, мистика, детектив","В том, что в тихом омуте водятся черти, юному Кэйити пришлось убедиться на своём собственном опыте. Переехав с родителями из города в живописную деревушку Хинамидзаву и подружившись в маленькой местной школе с очаровательными одноклассницами, он даже не подозревал, насколько обманчиво его представление об этом безмятежном крае и его обитателях. Но, как позднее выяснил Кэйити, за фасадом деревенской идиллии скрывается тёмная история зверских убийств и бесследных исчезновений, а под покровом благостной тиши действуют какие-то ужасные силы. Постепенно страшная тайна, скрытая в сельской глуши, стала приоткрываться перед его изумлёнными глазами...",470
";  / Myself; Yourself [TV] [13  13] [RUS(ext),JAP, , , DVDRip]","романтика, драма, школа","Сана Хикада возвращается в родной город, спустя пять лет, в течении которых он проживал в Токио. И замечает, что за время его отсутствия город мало изменился. По пути домой, он видит наблюдающую за ним девушку в одежде храмовой жрицы. На следующий день, в школе, Сана узнаёт, что эта девушка - его подруга детства Нанака Яцуширо, и то, что она до сих пор носит заколку, которую Сана подарил ей ещё до отъезда...",471
" :( ) / Dragon Ball Z: Super Android 13 ( ) [Movie][JAP+Sub][1992, ,, , , DVDRip]","приключения, комедия, фэнтези, сёнэн","Неожиданные взрывы предвещают новую угрозу миру. Но Гоку внезапно понимает, что это он - цель нападения. Кто же эти странные злодеи? Все стало ясно, когда Гоку не смог почувствовать их энергию. Это может означать только одно: они - Андроиды! Однако, Доктор Гиро уже мертв, кто же тогда руководит этими, еще более сильными андроидами?",472
"  / Nagi no Asukara / NagiAsu ( ) [TV] [26  26] [RUS(ext), JAP+Sub] [2013, ,, , WEBRip]",,,473
"   / Jyu Oh Sei / Planet of the Beast King ( ) [TV] [11  11] [RUS(int),JAP,, , DVDRip]","приключения, фантастика, драма","История начинается в 2436 г. спустя 350 лет после переселения человечества из Солнечной системы в систему Балканы. Близнецы Тор и Рай жили с родителями в космической колонии Юнона планеты Рея. Однажды, вернувшись домой, братья обнаруживают, что их родители были убиты. После этого по неизвестной причине мальчиков отправляют на планету Химера, также известную как «Планета Короля Зверей» (Jyu Oh Sei). Химера — дикая планета, населенная плотоядной растительностью. Это место, где отбывают заключение преступники, приговоренные к смерти. Вскоре оказывается, что единственная возможность покинуть планету — это выжить и стать «Королём Зверей». Однако только так они смогут разобраться, что стоит за убийством их родителей.",474
"  / Quanzhi Gaoshou / Quan Zhi Gao Shou / Master of Skill / The King's Avatar /   [ONA] [12  12] [] [RUS(int), CHI+Sub] [2017, ,, , , WEBRip]","Приключения, фэнтези, киберспорт, экшен.","В онлайн игре «Слава», Е Сю является топовым игроком профессионального уровня. Тем не менее, из-за финансовых причин его исключают из команды. После того как Е Сю покинул профессиональную сцену, он нашел работу в интернет кафе. Когда «Слава» запускает десятый сервер, он вновь возвращается в игру в качестве нового игрока. Принеся с собой воспоминания о прошлых свершениях, он возвращается на дорогу ведущую к вершинам славы!",475
"  :   / Shin Megami Tensei: Tokyo Mokushiroku (Tokyo Revelation) [OVA] [RUS(int),JAP, , , DVDRip]",,,476
"  / Silent Mobius: The Motion Picture ( ) [Movie][RUS(int),JAP,, , , DVDRip]","приключения, фантастика, ужасы, драма","2024 год, Токио. Группа девушек со сверхспособностями из спецотдела АМР борется с монстрами из другого мира. Одна из них Кацуми Ликёр. Она родилась на Гавайях, где до недавнего времени жила, но болезнь матери вынуждает ее приехать в Токио. И вот по пути в гостиницу ее такси застревает в пробке. Она решает добираться пешком, ее манит пустынный темный переулок, где сталкивается с ужасным монстром и двумя девушками, пытающимися убить его. Немногим позже она встречает все в том же переулке начальника АМР Ралли Шейенн, которая похоже ждала Кацуми, хотя они никогда и не встречались, Ралли предлагает присоединиться к отделу, но Кацуми отказывается верить в магию, монстров и другие миры...",477
"  2 / Angel's Tail 2 / Tenshi no Shippo Chu! [TV] [11  11] [JAP+Sub] [2003, , , -, , DVDRip]","фэнтези, комедия, махо-сёдзё, романтика","Жил-был молодой человек по имени Горо Мутсуми. Добросердечный молодой человек, который любил животных. Только вот в жизни ему всё время не везло. Компания, где он работал, обанкротилась, идя по улице, он налетал на каждый столб... В общем, полный неудачник. Однако его жизнь круто изменилась, когда он встретил колдунью, которая может призывать ангелов-хранителей с помощью устройства, похожего на мобильный телефон. И прекрасные девы предстают перед главным героем. Они вызваны из другого мира и являются душами домашних животных, о которых Горо заботился в прошлом, заточёнными в тела прекрасных девушек. Они желают отдать долг своему благодетелю. Действия второго сезона происходят спустя год после событий первой части.",478
"  /   / The First Step / Beginning of a Step / Hajime no Ippo ( ) [TV] [76  76] [RUS(int)] [2000, , , , , DVDRip]","Комедия, Драма, Спорт, Сёнэн","Главный герой - Иппо Макуночи скромный, застенчивый парнишка, испытывающий проблемы общения со сверстниками, волею случая он узнаёт о боксе и становится многообещающим талантливым боксёром.",479
"  / Sonic X ( ) [TV] [78  78] [RUS(Int), JAP] [2003, ,",Приключения.,"Адаптация знаменитой видеоигры компании Sega. Новые невероятные приключения любимого героя - суперскоростного ежика Соника! Соник снова вернулся, на этот раз он бегает еще быстрее, умеет летать и обладает недюжинной силой! В своих новых приключениях Соник борется с сумасшедшим доктором Эгманом, который желает создать ужасную империю зловещих роботов. Соник вместе со своими друзьями и банда Эгмана попадают на планету Земля. Здесь у Соника появляется новый друг Крис. Им предстоит найти все Изумруды Хаоса раньше Эгмана, чтобы помешать злодею повергнуть мир в Хаос.",480
"  / Jigen Loop: S.O.S Rescue Version / Dimension Loop: S.O.S Rescue Version [OVA] [ZXX] [2002, , ,","фантастика, музыкальный","На берегу моря жил андроид, случилось замыкание, и он случайным образом оказался заперт между людским миром и другим чужим безжизненным пространством...",481
"  / Miami Guns [TV] [13  13] [] [RUS(int), JAP+Sub] [2000, ,, , DVDRip]","приключения, комедия, этти",,482
" :   / Shingeki no Kyojin: Lost Girls [OVA] [1  3] [JAP+Sub] [2018, ,, , DVDRip]","приключения, триллер, фантастика",,483
" (TB-2) / Hetalia World Series ( ) [ONA] [48  48] [JAP+Sub] [2010, , DVDRip]",комедия,"Когда-то почти всем известным миром правил здоровый мужик, которого звали Древний Рим. Но время шло, герой и его дети сошли с исторической сцены, а внуки обнаружили, что и в других частях света есть весьма серьезные парни. Так постепенно и возникла новейшая история, которая рассказывается в аниме от лица героев, каждый из которых - олицетворение своей страны.",484
":    / Hetalia Axis Powers: Paint It, White [Movie] [JAP+Sub] [2010, , DVDRip]",комедия,"На этот раз бравая команда стран борется с внеземной угрозой с планеты Пикт, обитатели которой намерены обесцветить всю Землю.",485
":  """" / Hetalia: Axis Powers ( ) [ONA] [52  52] [RUS(int), JAP+Sub] [2009, , , , DVDRip]","комедия, история, пародия",,486
"  / Maris: The Chojo / The Supergal ( ) [OVA] [RUS(int),ESP, , ,","комедия, фантастика, сёнэн, приключения",Взял с World-art.ru © .,487
",  -! ) [TV] [24  24] [RUS(int),JAP, , , , TVRip]","комедия, романтика, фантастика, школа",,488
"  / Koi Koi Seven / Koikoi 7 [TV] [13  13] [RUS(int), JAP+Sub] [2005, , , , DVDRip]","комедия, романтика, этти",,489
"   / Love Hina ( ) [TV+Special][24+2  24+2][RUS(int),JAP, , , , DVDRip]","романтика, комедия, эротика, школа","Двадцатилетний Урасима Кейтаро уже третий год подряд пытается поступить в Токийский университет. Дело в том, что в детстве он обещал какой-то девочке (имени которой он не помнит), что вместе с ней поступит именно в Токийский университет, самый престижный в стране. И теперь для Кейтаро выполнение этого обещания – дело чести. К счастью, его бабушка, Урасима Хина, хозяйка гостиницы на горячем источнике в небольшом городке недалеко от Токио, собралась в отпуск. Она предлагает юноше временно её заменить, и Кейтаро с радостью соглашается. Однако Хина уже много лет как превратила свою гостиницу в женский пансион. И вот, Кейтаро оказывается менеджером и прислугой у группы самых странных девушек (школьниц и абитуриенток), которые когда-либо собирались в одном месте... К тому же, скромность, доброта и старомодное обаяние Кейтаро привлекает новых клиенток...",490
" ка Утэна: Конец Света юности / Revolutionary Girl Utena: The Adolescence of Utena (Икухара Кунихико) [JAP, RUS + Sub][1999, драма, приключения, сёдзё, юри, DVDRip] :    / Revolutionar ) [JAP, RUS + Sub][1999, , ,, , DVDRip]","драма, приключения, сёдзё, юри","История, в которой есть юная девушка и прекрасный принц… Привычный сюжет? Только не на этот раз! «Утэна: Апокалипсис юности» - это фильм, который сметает все избитые штампы и меняет местами мечту и реальность. Девушка не стала покорно ждать своего принца – она решила сама стать принцем. Что получила она в награду или в наказание за свою дерзость? Титул Победителя Дуэлей и вместе с ним – переходящий трофей, прелестную Невесту Роз, которая была живой собственностью победителей. Две девушки, кружащиеся в восхитительном танце под водопадом из лепестков роз – было ли это зарождением любви? Фильм оставляет больше вопросов, чем даёт ответов, и может быть на самом деле это история не о любви, а о силе, способной изменить мир. Впрочем, иногда это одно и то же. (с) WorldArt",491
":   / Dragon Ball: Shen Long no Densetsu / Dragon Ball: Curse of the Blood Rubies /   :   [Movie] [RUS(int), JAP+Sub] [1986, ,, , , DVDRip]","приключения, комедия, фэнтези, сёнэн","В этом фильме Гоку с друзьями спасают королевство от его короля, который превратился в жадного монстра,из-за страсти к сбору кровавых рубинов.",492
" 2 / Kakyuusei 2: Hitomi no Naka no Shoujo-tachi 13] [JAP+Sub] [2004, , , DVDRip]","комедия, романтика","Адаптация эротико-романтической видеоигры Dokyusei, суть которой заключается в прогулках по различным местам города и общении со всеми встречающимися персонажами. Как и принято для аниме такого жанра - куча персонажей, каждый со своим характером, привычками и комплексами, постоянно попадающих в различные смешные, нелепые, а порой и трагические ситуации. Они встречаются и расстаются, любят и ненавидят, смеются и плачут. В итоге получилась увлекательнейшая романтическая комедия, насыщенная ненавязчивым юмором и сдобренная хорошей музыкой. Особый шарм сериалу придают элементы мистики/фантастики.",493
"-н (фильм первый) / Gekijouban Tengen Toppa Gurren Lagann: Guren-hen (Имайси Хироюки)[Movie] [Rus(int)] [2008, приключения, комедия, фантастика, драма, DVDRip] ( ) / Gekijouban Tengen Toppa Gurren Lagann: Guren-hen ( )[Movie] [Rus(int)] [2008, ,, , , DVDRip]","приключения, комедия, фантастика, драма.","Полнометражный фильм, охватывающий события первых 15 серий ""Гуррен Лаганна"".",494
" / Ragnarok: The Animation ( )[TV][26  26][RUS(int), JAP+Sub][2004, ,, DVDRip]","Приключения, фэнтази","Угроза всему живому расползается по континенту, а храбрые искатели приключений продвигаются все глубже в сердце тьмы. Каждое новое столкновение с прихвостнями Темного Лорда грозит стать для Рона и его компаньонов последним, но настоящие герои всегда идут только вперед, навстречу судьбе!",495
"    / Lodoss-tou Senki: Eiyuu Kishi Den / Record of Lodoss War: Legend of the Heroic Knight [TV] [27  27] [] [RUS(int),JAP,, , DVDRip]","приключения, драма, фэнтези","Действия разворачиваются через несколько лет после событий основного сериала. всё аниме можно разделить на две части. В первойчасти Чёрный рыцарь Ашрам хочет заполучить в свои руки артефакт Скипетр Власти, а Парн, Дидо и прочая компания как всегда пытаются помешать очередному захвату мира.",496
" :  / Shin (Change!!) Getter Robo: Sekai Saigo no Hi / Getter Robo: Armageddon [OVA] [13  13] [RUS(int), JAP+Sub] [1998, ,, , BDRip]","приключения, фантастика, меха",,497
"  /    / Green Legend Ran ( ) [OVA] [3  3] [RUS(ext),JAP,, , DVDRip]","приключения, драма, фантастика","Земная цивилизация погубила себя отходами собственной жизнедеятельности – загрязнила воду, иссушила почву, истощила недра. Однако настоящий апокалипсис случился, всё-таки, не сам собой: из космоса прибыли пришельцы – Родо, которые выкачали остатки воды и ископаемых, превратив голубую планету в засохший глиняный шар.",498
",  ! / Aoki Densetsu Shoot! / Blue Legend Shoot! /   ! [TV] [58  58] [JAP+Sub] [1993, , , , , DVDRip]","спорт, комедия, драма, романтика",,499
" !    / Natsu no Arashi! Akinai-chuu ( ) [TV] [13  13] [RUS(ext),JAP, , , ть, DVDRip], DVDRip]","комедия, этти, мистика, повседневность",,500
" ! ( ) / Aa! Megami-sama! ) [TV+Special] [22+2  22+2] [RUS(int)+JAP+Sub] [2006, , , ,  DVDRip]","комедия, романтика, фэнтези, драма","Этот сериал – продолжение истории любви японского студента Политехнического института и богини первого класса без ограничений. В неспешное течение жизни Морисато Кеити вновь врываются проблемы: контракт между неудачником вселенского масштаба и его богиней-хранительницей может быть расторгнут. Вот только согласятся ли на это заинтересованные стороны?
",501
" ! /   / Natsu no Arashi! / Summer Storm! ( ) [TV][13  13][RUS(ext),JAP, , , DVDRip]","комедия, романтика, мистика",,502
" ! / Aa! Megami-sama! 5] [RUS(int),JAP, , , , DVDRip]","комедия, фэнтези, романтика, драма","Студент первого курса Кеити Морисато всего лишь набрал телефонный номер, собираясь заказать себе обед на дом, но не успел он повесить трубку, как из зеркала на стене появилась девушка, назвавшаяся богиней Верданди. Оказалось, что Кеити дозвонился в службу ""Божественной Помощи"", сотрудники которой - богини - предлагают нуждающимся в помощи людям исполнить любое их желание! Подумав, что всё это - шутка друзей, Кеити решает подыграть им и желает, чтобы прекрасная Верданди всегда была рядом! Разумеется, желание тотчас исполняется, богиня остаётся с ним и становится его подружкой. Однако, вскоре на Земле появляются божественные сёстры Верданди - Урд и Скульд, одна из которых изо всех сил пытается устроить личную жизнь Кеити и Верданди, а вторая - всячески этому помешать. Может ли простой парень рассчитывать на любовь настоящей богини, если у их союза, к тому же, есть не только божественные союзники, но и могущественные противники?",503
":   / Final Examination Kujira ( ) [ONA][12  12][DVD-Special][RUS(int),JAP, , , , DVDRip]","комедия, романтика, драма, мистика","Как снег идущий летом, как цикады, стрекочущие зимой... В городе, которым управляет кит, плывущий в небе, невозможное становится обычным. Представления, которые никогда не имели формы, обретают плоть и кровь. И среди них - эта история о чуде, происходящая в самом олицетворении города чудес. Добро пожаловать в Мир кита: Последний экзамен (с) ANN",504
"  / Elfen Lied [TV+Special] [13+1  13+1] [RUS(int). , JAP+Sub] [2004, , , , DVDRip]","драма, фантастика, ужасы","Люси, генетически модифицированное существо — так называемый Диклониус, устраивает настоящую кровавую баню в изоляторе особого содержания и вырывается из-под опеки правительственного агентства, изучающего Диклониусов. Потерявшая память Люси выглядит как обычная девочка-подросток — и только рожки на голове выдают ее зловещую природу…",505
":      / Rainbow: Nisha Rokubou no Shichinin ( ) [TV] [26  26][JAP+Sub] & [11  26][Rus(ext)] [2010, , TVRip]",,,506
"   (1 ) / Suzumiya Haruhi no Yuuutsu / The Melancholy of Haruhi Suzumiya ( ) [TV] [14  14] [RUS(ext),JAP, , , DVDRip]","комедия, фантастика, школа","«Меня совершенно не интересуют обыкновенные люди», — говорит Харухи Судзумия в первый же учебный день своим новым одноклассникам; она согласна разговаривать только с пришельцами, путешественниками во времени и экстрасенсами. Нужно ли быть экстрасенсом, чтобы понять, что все это — всерьёз? Конечно, да! Перед вами — одна из самых неординарных героинь в истории аниме и ее безумная «Команда SOS»!",507
