Title,Жанры,Описание,img
"  / Toward the Terra [TV] [24  24] [RUS(ext), JAP+Sub] [2007, ,, , DVDRip]","приключения, фантастика, драма","В далёком будущем человечество покинуло погибающую Землю и расселилось по космосу. Теперь цивилизацию контролирует суперкомпьютер, и дабы избежать повторения ошибок прошлого, были введены новые правила: каждый подросток должен прийти специальный Экзамен на зрелость. Главная опасность, вставшая перед людьми, это Мью – то ли мутация, то ли новая ступень развития, дарующая сверхчеловеческие способности.",17
"  / Aquarian Age Sign for Evolution [TV] [13  13] [JAP+Sub] [2002, ,, , DVDRip]","приключения, мистика, романтика","Кёта и его друзья Синго и Дзюн мечтают стать знаменитой рок-н-ролльной группой. Подруга детства Кёты Ёкко поддерживает их, пока они работают над осуществлением своей мечты. Однако как только все начинает складываться в их пользу, Кёта узнает, что действуют более могущественные силы и вот-вот начнется разрушительный конфликт. Какую роль Ёкко и Кёта сыграют в предстоящих событиях узнаете посмотрев данный сериал",18
"  OVA / Aquarian Age Saga II [OVA] [RUS(ext), ENG, JAP] [2003, ,, DVDRip]","приключения, мистика",Основана на одноименной карточной игре.,19
"  ( ) / Hagane no Renkinjutsus ) [Movie] [RUS(ext), JAP+Sub] [2011, ,, BDRip]","приключения, фэнтези","Аниме «Стальной алхимик: Священная звезда Милоса» – повествует нам о братьях-алхимиках Альфонсе и Эдварде Элриках, начало их приключениям положено еще в 2003 году сериалом «Стальной алхимик». В этом аниме герои пытаются поймать преступника. Во время поисков братья попадают в город, где встречаются с таинственной девочкой, Джулией Критон, членом организации «Black Bat».",20
"  OVA-1 / Ichigo Mashimaro OVA-1 ( ) [OVA] [3  3] [RUS(int),JAP, ть, сёдзё, DVDRip], , DVDRip]","комедия, повседневность, сёдзё","Продолжение одноименного сериала, в сущности – дополнительные серии к нему.",21
"  OVA-2 / Ichigo Mashimaro Encore OVA-2 (RUS(int)+JAP+Sub)[01-02  02] [2009, , ть, DVDRip], DVDRip]","комедия, повседневность",,22
" :  ! / Prism Magical: Prism Generations!, , DVDRip]","комедия, этти","Приключения Химе, Юри и Ибуки на горячих источниках. Эта ова относиться к сериалу Призм арк.",23
"  / Prism Ark [TV] [12  12] [RUS(ext),JAP,, , , DVDRip]","приключения, романтика, фэнтези, эротика","Империя Саблум уже много лет пытается выиграть войну у Страны Ветров, и сейчас она, вместе с наёмниками Сестрой Хелл и Рыцарем Тьмы, пытается начать новую кампанию, используя сильных существ, называемых Ангелами. Хаявей, беспечный, но талантливый мечник, и Присия, которая, возможно, является пропавшей принцессой Страны Ветров, поступают в Рыцарскую Академию, чтобы отточить свои навыки во владении мечом и волшебством. Там они заводят много друзей и союзников, могущих помочь им защитить родину от готовящегося вторжения. (c) ANN",24
":   - / Hakkenden: Legend of the Dog Warriors [OVA] [13  13] [RUS(int), JAP+Sub] [1990,  , , , DVDRip]","самурайский боевик, драма, фэнтези","В эпоху жестоких феодальных войн, разрывающих средневековую Японию, самурайский клан Ава оказался на грани полного уничтожения, когда его стан окружили воины соперничающего клана при поддержке демонических сил. Однако необдуманное обещание, данное главой Ава, приносит клану как спасение, так и проклятие, когда его пёс приносит в зубах отгрызенную голову вражеского командира и требует в награду дочь вождя. Их неестественная связь приводит к зачатию плода, но обоих убивают, и восемь нерождённых щенков реинкарнируются в восемь Псов-Воинов, Хаккэндэн. Медленно, но верно они найдут друг друга, сформируясь в группу из восьми самураев, где каждый олицетворяет один из восьми принципов Бусидо, и в кровопролитных битвах с демонами и вражескими самураями снимут проклятие с клана Ава, восстановив его былую славу.",25
"    / Record of Lodoss War [OVA] [13  13] [RUS(ext),JAP, ,, DVDRip]","фэнтези, приключения, драма","Описание: Испокон веков на земле царила эра Богов, но пришёл конец отпущенному ей сроку, когда Бог Тьмы Фаларис поднял свои армии драконов и богов зла против Верховного Бога Фалиса. Долго длился их бой, стонали земли и небеса под натиском разбушевавшейся божественной силы. И вот в живых остались только двое – Богиня Созидания Марфа и Богиня Разрушения Кардис. Сошлись израненные богини в последнем бою не на жизнь, а на смерть, разрывая некогда единый континент Алекраст на множество островов. Так образовались новые земли, которым люди впоследствии дали название «Проклятый Остров Лодосс». Отныне там не стихали войны, унося с собой всё новые жизни, теперь уже людские.",26
"-  / Karasu Tengu Kabuto / Crow Demon Kabuto [TV] [1-13, 27-39  39] [JAP+Sub] [1990, , ,,  , , DVDRip]",,,27
" -   / Ankoku Shinden Takegami / Guardian of Darkness [OVA] [3  3] [] [RUS(int), JAP] [1990, ,венное, фантастика, меха, драма, DVDRip], , , , DVDRip]","приключения, сверхъестественное, фантастика, меха, драма","Много столетий назад земли Японии населяли могущественные драконы. Величественные и мудрые, но кровожадные существа годами угнетали род человеческий используя их лишь как прислугу, да пищу, пока однажды народ не восстал против них. Драконы были побеждены, а люди под предводительствовом Сусы — убийцы драконов подобному Богу, рассеялись по земле, но что же будет если в год дракона, кто-то раскроет врата в потусторонний мир и впустит назад зло из прошлого?",28
" 13:  / Golgo 13: The Professional (Дэдзаки Осаму) [полухардсаб] [JAP,ENG+Sub] [1983, приключения, драма, Эротика, DVDRip] ) [] [JAP,ENG+Sub] [1983, ,, , DVDRip]",,,29
",    / New Dream Hunter Rem [OVA] [2  2] [JAP+Sub] [1990, ,-, DVDRip]","приключения, махо-сёдзё",,30
"   / Yagami-kun no Katei no Jijou [OVA] [3  3] [RUS(int), JAP+Sub] [1990, , ть, DVDRip], DVDRip]","комедия, повседневность","Юдзи Ягами — ученик старших классов и имеет одну интересную проблему. Ещё в детстве он стал замечать, что мама у него не такая как у всех других детей. Сколько бы не рос сам Юдзи, мама его остаётся всё прежней молодой красавицей. Не стареет она. По крайней мере с виду. Разумеется, такой феномен не мог пройти бесследно мимо психики подрастающего молодого человека. Гормоны знают своё дело и заставляют подростоков влюбляться в самого красивого в их глазах человека. Для Юдзи Ягами таким человеком оказалась его собственная мама. При таком обстоятельстве проблемы просто запрограммированы. Сам Юдзи ревнует к собственному отцу. Дружки Юдзи завидуют ему и злятся, из-за того что он не подпускает их к своей маме. Масла в огонь добавляет девушка, которая из всех парней в мужской школе, где учатся Юдзи и его друзья, влюбилась именно в Юдзи. Учитель Юдзи тоже влюбился в его маму, и поэтому пытается нагадить Юдзи как только может. И ещё есть коллега отца, которая хочет стать его любовницей, для чего пытается использовать и самого Юдзи. Юдзи Ягами потребуются стальные нервы, чтобы преодолеть все эти семейные проблемы.",31
"  / Onna Senshi Efe and Jiira: Guude no Monshou / Gude Crest - The Emblem of Gude / Female Soldiers Efe and Jeila: Crest of Gude [OVA] [RUS(int), JAP+Sub] [1990, ,, LDRip]","приключения, фэнтези","Две бродячие воительницы удачи, беглая принцесса Джилиора (Джира) и колдунья-ученица Эфера (Эфи), в своих бесконечных странствиях по землям Четырёх Королевств попадают в плен к работорговцам. При побеге за ними увязывается мальчик явно благородного происхождения из числа других пленников, погибающий затем от копья охранника. Так в руках Джиры и Эфи оказывается кулон с магическим камнем под названием Герб Гуды (Emblem of Gude), принадлежащий юной графтонской принцессе Рубиэле и её брату Джулиану (чьим родным братом и был погибший мальчик), которые содержатся заложниками в соседнем королевстве Форда. Девушки великодушно решают вернуть драгоценность хозяевам, однако это не так-то легко сделать. Ведь детей держит в своём дворце первосвященник зловещего культа ещё более зловещей богини, имеющий на них свои планы. Но хотя в распоряжении Джиры и Эфи лишь пара мечей и горстка любительских заклинаний, их благородство и верность в состоянии преодолеть любые препятствия...",32
" / Gdleen [OVA] [RUS(int), JAP+Sub] [1990, ,, , , LDRip]","приключения, комедия, фэнтези, сэйнэн","Офисный клерк Рю с Земли далёкого будущего и сопровождающий его робот ""MOS-01"" вынуждены совершить аварийную посадку на корабле/планете Гдлин, куда летели с целью изучения (с помощью подручного оборудования) её ресурсов. Он знакомится с красивой феей по имени Фана, и в скором времени они оба становятся втянутыми в противостояние монстроподобных Бабарессов и кланов-колдунов Мийорл.",33
"  улицы / Capricious Orange Road / Kimagure Orange Road [OVA] [8 из 8] [RUS(int),JAP+Sub] [1989, романтика, комедия, повседневность, DVDRip] / Capricious Orange Road / Kimagure Orange Road [OVA] [8  8] [RUS(int),JAP, , ть, DVDRip], DVDRip]","романтика, комедия, повседневность","Юный Касуга Кёсукэ со своей семьей, которая состоит из папаши-фотографа, кота-обжоры и двух непоседливых сестричек-школьниц, в очередной раз переезжает на новое местожительство. Столь частые переезды семьи Кёсукэ отнюдь не случайны, ведь он и его близкие обладают странными мистическими способностями, позволяющими совершать разные полезные, но не всегда разумные поступки: исчезать, телепортироваться, управлять объектами на расстоянии. Проблема только в том, что окружающие не хотят понимать суть этого дара, а видят в его обладателях лишь колдунов и подозрительных личностей. На новом месте о талантах Кёсукэ, к счастью, еще никто не знает, а это уже хороший повод начать нормальную жизнь обычного школьника и поставить наконец-то точку на этих бесконечных переездах, благо причин для этого множество – взять хотя бы озорных друзей и очаровательных учениц из новой школы.""",34
"  ( ) / Jigoku Shoujo Futakomori ( ) [TV] [26  26] [RUS(int),JAP, , , DVDRip]","мистика, драма, ужасы","Тем, кто знаком с первой частью этой адской истории, в первой половине сериала всё покажется почти без изменений, Энма Ай так же контактирует с жаждущими помощи через свою переписку и отправляет негодных в ад, чиня правосудие (?). В общем, практически ничего нового. Однако изюминкой Futakomori можно назвать смещение акцентов с Адской девочки и попытка раскрыть судьбы её верных слуг - Хоне-Онны, Итимоку Рена и Ванюдо, а также обстятельств их встречи. Кульминацией сего творения, на мой взгляд, можно смело назвать последние серии, в которых, пожалуй, и заключена вся соль и в общем становится понятно, почему это аниме занесли в разряд мистики и ужасов.",35
"  / Ninja Scroll / Juubee Ninpuuchou ( ) [Movie] [RUS(ext), JAP+Sub] [1993,  , , , BDRip]","самурайский боевик, фэнтези, эротика",,36
"   / Seirei no Moribito / Guardian of the Sacred Spirit ( ) [TV] [26  26] [RUS(ext),JAP,",приключения,,37
"  ! / Goddamn / 1990 [OVA] [2  2] [RUS(int), JAP] [1990, ,, , DVDRip]","приключения, спорт, драма","Тодороки Ген нанимает для соревнований Safari Rally Kenya представитель большой компании, у которого есть какие-то свои планы на эту гонку. Удастся ли нашему герою доехать до финиша без проблем, которые он, кажется, просто таки притягивает?",38
"-р (первый сезон) / Vampire Knight (Саяма Киёко) [TV] [13 из 13] [RUS(int), JAP+Sub] [2008, романтика, драма, вампиры, сёдзё, DVDRip] ( ) / Vampire Knight ( ) [TV] [13  13] [RUS(int), JAP+Sub] [2008, , , , , DVDRip]","омантика, драма, сёдзё",,39
"-р (первый сезон) / Vampire Knight (Саяма Киёко) [TV][13 из 13][RUS(int),JAP+Sub][2008, романтика, драма, вампиры, сёдзё, TVRip] ( ) / Vampire Knight ( ) [TV][13  13][RUS(int),JAP, , , , TVRip]",,,40
"  / Spirit of Wonder: Shounen Kakagu Club (Spirit of Wonder Scientific Boys Club) ( ) [OVA-2] [JAP+Sub] [2001, ,, , DVDRip]","приключения, фантастика, романтика",Продолжение приключений боевой официантки в жюльверновских тонах.,41
" :    / Spirit of Wonder: Miss China's Ring /Spirit of Wonder: China-san no Yuuutsu(о Мицуру)[OAV] [RUS(int)+JAP+Sub] [1992, фантастика, романтика, комедия, DVDRip] )[OAV] [RUS(int)+JAP+Sub] [1992, , , , DVDRip]","фантастика, романтика, комедия","Более чем приятная жульверщина пронизанная духом всепобеждающей силы науки над материей и расстояниями. Этакое «Ностальжи по старой фантастике». Очень мило, хотя, конечно же, не менее наивно.",42
" :    / Spirit of Wonder Scientific Boys Club ( )[OAV] [2  2] [RUS(int)+JAP+Sub] [2001, ,, , DVDRip]","приключения, фантастика, романтика","В конце девятнадцатого - начале двадцатого века выходит ряд работ Персиваля Лоуэлла. В них он утверждает, что ""Марс, будучи меньше Земли по размерам, остыл раньше, и эволюция жизни на нём шла более быстрыми темпами. Из-за высыхания планеты, на которой нет больших водоёмов, местная цивилизация вынуждена была построить глобальную сеть каналов (Лоуэлл насчитывал их более 600), переносящих воды тающих полярных ледников в экваториальные зоны. Это возможно только при наличии всепланетного государства и гораздо более развитой, чем земная, технологии."" (с) Википедия. Эта идея так завораживает трёх друзей, что они решают организовать клуб ученых мальчиков, целью которого является полёт на Марс. Лишь спустя 50 лет с помощью дочери одного из основателей клуба Уинди (ученой, автора книги ""Эфирный ветер"" и её мужа Джека они добиваются успеха.",43
"   / Chrono Crusade / Chrno Crusade [TV] [24  24] [RUS(int), JAP+Sub] [2003, ,, , , DVDRip]","приключения, комедия, мистика, драма",,44
